"filename", "language", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"e:\wamp64\www\ppscpi_lms\client\src\components\ProtectedRoute.jsx", "JavaScript JSX", 0, 4, 0, 0, 4
"e:\wamp64\www\ppscpi_lms\client\src\pages\AdminDashboard.css", "PostCSS", 0, 0, 0, 1, 1
"e:\wamp64\www\ppscpi_lms\client\src\pages\AdminDashboard.jsx", "JavaScript JSX", 0, 45, 0, 0, 45
"e:\wamp64\www\ppscpi_lms\client\src\pages\AdminLogin.css", "PostCSS", 0, 0, 0, 1, 1
"e:\wamp64\www\ppscpi_lms\client\src\pages\AdminRequests.css", "PostCSS", 6, 0, 0, 1, 7
"e:\wamp64\www\ppscpi_lms\client\src\pages\ApprovedStudents.css", "PostCSS", 0, 0, 0, 1, 1
"e:\wamp64\www\ppscpi_lms\client\src\pages\Cashier.css", "PostCSS", 2, 0, 0, 1, 3
"e:\wamp64\www\ppscpi_lms\client\src\pages\CashierDashboard.css", "PostCSS", 0, 0, 0, 1, 1
"e:\wamp64\www\ppscpi_lms\client\src\pages\CashierDashboard.jsx", "JavaScript JSX", 0, 18, 0, 0, 18
"e:\wamp64\www\ppscpi_lms\client\src\pages\CashierQueuePage.jsx", "JavaScript JSX", 0, 35, 0, 0, 35
"e:\wamp64\www\ppscpi_lms\client\src\pages\ChangePassword.css", "PostCSS", 2, 0, 0, 0, 2
"e:\wamp64\www\ppscpi_lms\client\src\pages\ChangePassword.jsx", "JavaScript JSX", 0, 1, 0, 0, 1
"e:\wamp64\www\ppscpi_lms\client\src\pages\EnrollStudentPage.css", "PostCSS", 0, 0, 0, 1, 1
"e:\wamp64\www\ppscpi_lms\client\src\pages\Etype.css", "PostCSS", 9, 0, 0, 1, 10
"e:\wamp64\www\ppscpi_lms\client\src\pages\Etype.jsx", "JavaScript JSX", 0, 70, 0, 1, 71
"e:\wamp64\www\ppscpi_lms\client\src\pages\LandingPage.css", "PostCSS", 35, 0, 0, 1, 36
"e:\wamp64\www\ppscpi_lms\client\src\pages\LandingPage.jsx", "JavaScript JSX", 0, 18, 0, 1, 19
"e:\wamp64\www\ppscpi_lms\client\src\pages\PrintBalance.css", "PostCSS", 0, 0, 0, 1, 1
"e:\wamp64\www\ppscpi_lms\client\src\pages\PrintBalance.jsx", "JavaScript JSX", 0, 17, 0, 1, 18
"e:\wamp64\www\ppscpi_lms\client\src\pages\PrintCertificate.css", "PostCSS", 0, 0, 0, 1, 1
"e:\wamp64\www\ppscpi_lms\client\src\pages\PrintCertificate.jsx", "JavaScript JSX", 0, 9, 0, 1, 10
"e:\wamp64\www\ppscpi_lms\client\src\pages\ProfileSearch.css", "PostCSS", 0, 0, 0, 1, 1
"e:\wamp64\www\ppscpi_lms\client\src\pages\ProfileSearch.jsx", "JavaScript JSX", 0, 11, 0, 1, 12
"e:\wamp64\www\ppscpi_lms\client\src\pages\RequestCertificate.css", "PostCSS", 0, 0, 0, 1, 1
"e:\wamp64\www\ppscpi_lms\client\src\pages\RequestCertificate.jsx", "JavaScript JSX", 0, 15, 0, 1, 16
"e:\wamp64\www\ppscpi_lms\client\src\pages\StudentDashboard.css", "PostCSS", 9, 0, 0, 0, 9
"e:\wamp64\www\ppscpi_lms\client\src\pages\StudentDashboard.jsx", "JavaScript JSX", 0, 25, 0, 0, 25
"e:\wamp64\www\ppscpi_lms\client\src\pages\StudentLogin.css", "PostCSS", 2, 0, 0, 0, 2
"e:\wamp64\www\ppscpi_lms\client\src\pages\Transferee.css", "PostCSS", 0, 0, 0, 1, 1
"Total", "-", 65, 268, 0, 20, 353
