"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "JSON", "XML", "HTML", "Markdown", "PHP", "comment", "blank", "total"
"e:\wamp64\www\ppscpi_lms\api\admin\approve.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 136, 2, 24, 162
"e:\wamp64\www\ppscpi_lms\api\admin\approved-students.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 51, 0, 11, 62
"e:\wamp64\www\ppscpi_lms\api\admin\certificate-requests-update.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 29, 0, 8, 37
"e:\wamp64\www\ppscpi_lms\api\admin\certificate-requests.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 12, 0, 3, 15
"e:\wamp64\www\ppscpi_lms\api\admin\enroll.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 93, 0, 16, 109
"e:\wamp64\www\ppscpi_lms\api\admin\enrolled-students.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 17, 0, 4, 21
"e:\wamp64\www\ppscpi_lms\api\admin\queue-batch.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 227, 0, 35, 262
"e:\wamp64\www\ppscpi_lms\api\admin\queue-dashboard.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 160, 0, 18, 178
"e:\wamp64\www\ppscpi_lms\api\admin\student-details.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 55, 0, 13, 68
"e:\wamp64\www\ppscpi_lms\api\admin\students.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 33, 0, 4, 37
"e:\wamp64\www\ppscpi_lms\api\auth\login.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 44, 1, 10, 55
"e:\wamp64\www\ppscpi_lms\api\auth\student-change-password.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 55, 6, 17, 78
"e:\wamp64\www\ppscpi_lms\api\auth\student-login.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 48, 1, 11, 60
"e:\wamp64\www\ppscpi_lms\api\auth\student-register.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 67, 7, 13, 87
"e:\wamp64\www\ppscpi_lms\api\cashier\payment-records.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 46, 0, 6, 52
"e:\wamp64\www\ppscpi_lms\api\cashier\queue-dashboard.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 148, 0, 17, 165
"e:\wamp64\www\ppscpi_lms\api\cashier\record-payment.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 115, 0, 17, 132
"e:\wamp64\www\ppscpi_lms\api\cashier\search-student.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 87, 0, 13, 100
"e:\wamp64\www\ppscpi_lms\api\cashier\update-balance.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 22, 0, 4, 26
"e:\wamp64\www\ppscpi_lms\api\composer.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"e:\wamp64\www\ppscpi_lms\api\composer.lock", "JSON", 0, 0, 0, 85, 0, 0, 0, 0, 0, 1, 86
"e:\wamp64\www\ppscpi_lms\api\config\cors.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 10, 1, 2, 13
"e:\wamp64\www\ppscpi_lms\api\config\database.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 15, 1, 4, 20
"e:\wamp64\www\ppscpi_lms\api\config\jwt.example.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 26, 2, 7, 35
"e:\wamp64\www\ppscpi_lms\api\helpers\fees_helper.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 394, 5, 91, 490
"e:\wamp64\www\ppscpi_lms\api\middleware\auth.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 49, 2, 14, 65
"e:\wamp64\www\ppscpi_lms\api\migration.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 33, 3, 5, 41
"e:\wamp64\www\ppscpi_lms\api\students\balance-detail.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 51, 0, 8, 59
"e:\wamp64\www\ppscpi_lms\api\students\balance-info.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 30, 2, 7, 39
